name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:prescribe-client-solution,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/prescribe-client-solution/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:provision-client-workspace,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/provision-client-workspace/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:sell-momento-platform,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/sell-momento-platform/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:tailor-vertical-solution,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/tailor-vertical-solution/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:verify-client-release,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/verify-client-release/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
customer-support,${HOME}/.codex/skills/customer-support/SKILL.md,,Retained by approved policy; discovery visibility varies
data-analytics:analyze-data-quality,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/analyze-data-quality/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:build-dashboard,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/build-dashboard/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:build-report,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/build-report/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:convert-to-doc,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/convert-to-doc/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
